PRODUCCI�N PESQUERA DE AT�N REPORTADA EN AVISOS DE ARRIBO 2012 - 2019/P,,,,,,,,,,,,,
FOLIO AVISO,RNP ACTIVO,NOMBRE ACTIVO,NOMBRE OFICINA,A�O CORTE,NOMBRE PRINCIPAL,NOMBRE ESTADO,NOMBRE ESPECIE,MES CORTE,NOMBRE SITIO DESEMBARQUE, PESO DESEMBARCADO (KILOGRAMOS), PESO VIVO (KILOGRAMOS), PRECIO (PESOS), VALOR (PESOS)
924785,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,DICIEMBRE,LAGUNA LAS SALINAS,3000.00,3000.00,50.00,150000.00
924786,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,DICIEMBRE,LAGUNA LAS SALINAS,2300.00,2300.00,50.00,115000.00
924788,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,ENERO,LAGUNA LAS SALINAS,2800.00,2800.00,50.00,140000.00
924789,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,ENERO,LAGUNA LAS SALINAS,2300.00,2300.00,50.00,115000.00
924790,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,ENERO,LAGUNA LAS SALINAS,3165.00,3165.00,50.00,158250.00
924791,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,ENERO,LAGUNA LAS SALINAS,2500.00,2500.00,50.00,125000.00
924792,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,FEBRERO,LAGUNA LAS SALINAS,3200.00,3200.00,50.00,160000.00
924793,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,FEBRERO,LAGUNA LAS SALINAS,2700.00,2700.00,50.00,135000.00
924794,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,FEBRERO,LAGUNA LAS SALINAS,2300.00,2300.00,50.00,115000.00
924795,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,FEBRERO,LAGUNA LAS SALINAS,3000.00,3000.00,50.00,150000.00
924796,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,MARZO,LAGUNA LAS SALINAS,275.00,275.00,50.00,13750.00
924797,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,MARZO,LAGUNA LAS SALINAS,3500.00,3500.00,25.00,87500.00
924798,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,MARZO,LAGUNA LAS SALINAS,3400.00,3400.00,50.00,170000.00
924799,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,MARZO,LAGUNA LAS SALINAS,3100.00,3100.00,50.00,155000.00
924996,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,MARZO,LAGUNA LAS SALINAS,800.00,800.00,30.00,24000.00
927341,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,NOVIEMBRE,PLAYA PRINCIPAL,10000.00,10000.00,80.00,800000.00
930276,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,NOVIEMBRE,LAGUNA LAS SALINAS,3200.00,3200.00,50.00,160000.00
930277,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,NOVIEMBRE,LAGUNA LAS SALINAS,1800.00,1800.00,45.00,81000.00
930278,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,NOVIEMBRE,LAGUNA LAS SALINAS,5800.00,5800.00,45.00,261000.00
930279,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,DICIEMBRE,LAGUNA LAS SALINAS,1200.00,1200.00,50.00,60000.00
930280,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,DICIEMBRE,LAGUNA LAS SALINAS,5300.00,5300.00,45.00,238500.00
930281,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,DICIEMBRE,LAGUNA LAS SALINAS,800.00,800.00,50.00,40000.00
930282,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,DICIEMBRE,LAGUNA LAS SALINAS,4600.00,4600.00,50.00,230000.00
930283,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,ENERO,LAGUNA LAS SALINAS,500.00,500.00,55.00,27500.00
930284,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,ENERO,LAGUNA LAS SALINAS,4500.00,4500.00,55.00,247500.00
930285,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,ENERO,LAGUNA LAS SALINAS,4800.00,4800.00,50.00,240000.00
930286,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,FEBRERO,LAGUNA LAS SALINAS,3500.00,3500.00,50.00,175000.00
930287,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,MARZO,LAGUNA LAS SALINAS,6200.00,6200.00,90.00,558000.00
930288,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,MARZO,LAGUNA LAS SALINAS,7500.00,7500.00,90.00,675000.00
930289,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,ABRIL,LAGUNA LAS SALINAS,5400.00,5400.00,90.00,486000.00
930290,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,ABRIL,LAGUNA LAS SALINAS,5900.00,5900.00,90.00,531000.00
930291,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,MAYO,LAGUNA LAS SALINAS,400.00,400.00,50.00,20000.00
930292,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,MAYO,LAGUNA LAS SALINAS,5000.00,5000.00,65.00,325000.00
